month_date,total_ecl,nco_amount,provision,alll_reserve,nco_coverage_ratio
2007-06-01,43.602636134626955,0.0,0.0,43.602636134626955,
2007-07-01,626.3530377310897,0.0,582.7504015964627,626.3530377310897,
2007-08-01,1604.1341038117148,0.0,977.7810660806251,1604.1341038117148,
2007-09-01,2031.6005976469132,0.0,427.46649383519843,2031.6005976469132,
2007-10-01,3360.684716684114,0.0,1329.0841190372007,3360.684716684114,
2007-11-01,5248.1677369765175,0.0,1887.4830202924036,5248.1677369765175,
2007-12-01,11412.103080801697,0.0,6163.935343825179,11412.103080801697,
2008-01-01,21075.911831860954,0.0,9663.808751059258,21075.911831860954,
2008-02-01,28739.61274943473,0.0,7663.700917573777,28739.61274943473,
2008-03-01,40894.003166888695,0.0,12154.390417453964,40894.003166888695,
2008-04-01,43932.42757413145,0.0,3038.4244072427537,43932.42757413145,
2008-05-01,43796.79406842089,0.0,-135.6335057105607,43796.79406842089,
2008-06-01,43689.58164959924,0.0,-107.21241882164759,43689.58164959924,
2008-07-01,44195.37808728469,0.0,505.79643768545066,44195.37808728469,
2008-08-01,43983.52872786942,0.0,-211.84935941526783,43983.52872786942,
2008-09-01,43004.27276161424,0.0,-979.2559662551866,43004.27276161424,
2008-10-01,44122.18224628407,2068.3088775830956,3186.218362252931,44122.18224628407,21.332491836443047
2008-11-01,48600.66550162835,0.0,4478.483255344276,48600.66550162835,23.49777928643822
2008-12-01,54997.23383482529,21229.673553183286,27626.241886380227,54997.23383482529,2.3606007085917513
2009-01-01,59793.672956026596,28137.886137672245,32934.32525887355,59793.672956026596,1.1624898076031784
2009-02-01,65584.31967854961,41803.590907613456,47594.23763013647,65584.31967854961,0.7033966096231445
2009-03-01,70927.13026365731,31473.84918272143,36816.65976782913,70927.13026365731,0.5687214221677024
2009-04-01,76636.1787840535,41842.796513642,47551.84503403819,76636.1787840535,0.4601223035608408
2009-05-01,82724.8272161502,124107.54965790368,130196.19809000038,82724.8272161502,0.28460671240249313
2009-06-01,86845.53562597717,-227.0446434963851,3893.6637663305846,86845.53562597717,0.29901717820667967
2009-07-01,93192.63487339354,45916.377193645385,52263.476441061764,93192.63487339354,0.2770679564917258
2009-08-01,98808.24915044394,33383.89968650492,38999.51396355531,98808.24915044394,0.26723936022251976
2009-09-01,106092.92819934104,77326.59565462713,84611.27470352424,106092.92819934104,0.23731065564442058
2009-10-01,118729.77206253285,82834.73163365424,95471.57549684605,118729.77206253285,0.22493945649988456
2009-11-01,130168.94841963788,47737.13509224842,59176.311449353445,130168.94841963788,0.22615775269331975
2009-12-01,141252.79645351076,119636.50722629818,130720.35526017107,141252.79645351076,0.2095820058487535
2010-01-01,152190.9598652289,86265.34939503932,97203.51280675747,152190.9598652289,0.20788236828640597
2010-02-01,162063.59129106093,63573.87211353404,73446.50353936607,162063.59129106093,0.21497505313858262
2010-03-01,172716.50024234876,123133.5497525159,133786.4587038037,172716.50024234876,0.20426978434130177
2010-04-01,184867.6758906207,72429.83511681261,84581.01076508456,184867.6758906207,0.21100765008292635
2010-05-01,204323.73925813055,101064.94392862894,120521.00729613878,204323.73925813055,0.2395141800047323
2010-06-01,228207.60636799026,74975.89859618638,98859.76570604609,228207.60636799026,0.2458395388167211
2010-07-01,252710.84230076429,212313.9789470297,236817.21487980374,252710.84230076429,0.23085440231079898
2010-08-01,279928.1852449173,121006.45901955185,148223.80196370487,279928.1852449173,0.23676601200414818
2010-09-01,308845.75489597104,16105.41612929308,45022.98578034683,308845.75489597104,0.2754900585800596
2010-10-01,337556.14828889683,143700.65715954007,172411.05055246587,337556.14828889683,0.28559412444178556
2010-11-01,358841.28563049954,173197.18164725116,194482.31898885386,358841.28563049954,0.27446862787653425
2010-12-01,384571.71191900293,105395.89301177215,131126.31930027553,384571.71191900293,0.29738842014872385
2011-01-01,417582.87249576364,116609.58187227794,149620.74244903866,417582.87249576364,0.3155123381750791
2011-02-01,458732.0927056509,226673.8822027907,267823.10241267795,458732.0927056509,0.3085765149172382
2011-03-01,510561.85022890073,206505.55233977825,258335.3098630281,510561.85022890073,0.3252029225751055
2011-04-01,558496.8002018443,137944.21957712498,185879.16955006856,558496.8002018443,0.34148515053775674
2011-05-01,615060.8558621987,221312.27485518638,277876.3305155408,615060.8558621987,0.3503141166541267
2011-06-01,668895.4841151091,210363.38617617346,264198.0144290838,668895.4841151091,0.35370176598261305
2011-07-01,728712.8424011229,296151.0023752429,355968.3606612567,728712.8424011229,0.3689749719943131
2011-08-01,791016.0980363359,191517.8066488753,253821.0622840883,791016.0980363359,0.38671476359719836
2011-09-01,851418.1767685479,160003.40699320578,220405.48572541773,851418.1767685479,0.3888864343023433
2011-10-01,927410.1388112204,253461.75287986448,329453.71492253704,927410.1388112204,0.403373337975591
2011-11-01,1013350.8625833339,246908.81993517646,332849.5437072899,1013350.8625833339,0.42706108542673177
2011-12-01,1134405.6738757063,383821.69966336543,504876.51095573785,1134405.6738757063,0.4278720105107585
2012-01-01,1242271.8790550705,256754.42367589843,364620.62885526265,1242271.8790550705,0.44503251676713595
2012-02-01,1347325.779285749,587351.1987965207,692405.0990271992,1347325.779285749,0.42743811553748934
2012-03-01,1456866.025895544,496743.74111062085,606283.9877204159,1456866.025895544,0.42322044840151013
2012-04-01,1574045.0926982018,591669.4501296075,708848.5169322651,1574045.0926982018,0.4040095664746605
2012-05-01,1712510.3843644718,696162.7248826175,834628.0165488875,1712510.3843644718,0.39179727201996717
2012-06-01,1903761.8010959195,522011.418099726,713262.8348311738,1903761.8010959195,0.40656453730240977
2012-07-01,2124573.59274059,745004.3862142494,965816.1778589202,2124573.59274059,0.41403303370708966
2012-08-01,2357800.0457004714,662392.9453651443,895619.3983250255,2357800.0457004714,0.42086392220515295
2012-09-01,2593866.492178075,991625.8514750531,1227692.2979526566,2593866.492178075,0.40315564443664614
2012-10-01,2851110.518716091,819823.8628900084,1077067.8894280242,2851110.518716091,0.4072857626942952
2012-11-01,3141459.654966683,889940.2969231429,1180289.4331737352,3141459.654966683,0.41100818144891066
2012-12-01,3405318.5225707325,1063519.8153421062,1327378.6829461555,3405318.5225707325,0.40914555755833076
2013-01-01,3706867.2371887737,1329185.255808145,1630733.9704261862,3706867.2371887737,0.3945393519557309
2013-02-01,4055398.215193754,1408037.351680959,1756568.3296859395,4055398.215193754,0.39696081941200173
2013-03-01,4412388.986295741,1851952.2468585253,2208943.017960512,4412388.986295741,0.38132095981586794
2013-04-01,4828264.66573043,1878011.318277567,2293886.9977122555,4828264.66573043,0.37551637383393865
2013-05-01,5304633.370526013,2357055.195857862,2833423.900653445,5304633.370526013,0.36536911310055076
2013-06-01,5792296.183750451,2042341.6361614428,2530004.4493858805,5792296.183750451,0.36114071016991617
2013-07-01,6283885.840578718,1960661.8900978034,2452251.546926071,6283885.840578718,0.36418722541723886
2013-08-01,6791755.559997356,2468540.6203026157,2976410.339721253,6791755.559997356,0.3563225495319434
2013-09-01,7339799.77334763,2283089.6653082683,2831133.878658543,7339799.77334763,0.360639857288118
2013-10-01,7929152.056291932,2557165.97473326,3146518.257677562,7929152.056291932,0.3589556848896007
2013-11-01,8524582.198760446,2706276.986646517,3301707.129115031,8524582.198760446,0.3565899766436568
2013-12-01,9142180.176353153,3509782.032013939,4127380.009606646,9142180.176353153,0.3469241584570548
2014-01-01,9783402.714002807,3482492.338197063,4123714.875846717,9783402.714002807,0.3432121711538402
2014-02-01,10409862.2576916,4291937.696992221,4918397.240681014,10409862.2576916,0.3316372055690611
2014-03-01,11110526.66892843,4821728.285911367,5522392.697148197,11110526.66892843,0.3233650462037401
2014-04-01,12000516.775190713,5223691.8454322545,6113681.951694538,12000516.775190713,0.3182758741529398
2014-05-01,12862097.683039565,6413048.982625302,7274629.890474154,12862097.683039565,0.30799483326134397
2014-06-01,13664086.755075604,4512638.615716363,5314627.687752402,13664086.755075604,0.3089251833462209
