month_date,dpd_bucket,grade,balance,count,gco_amount,recovery_amount,nco_amount,loss_rate,total_ecl_simple,total_ecl_dcf,alll_ratio_simple,alll_ratio_dcf
2007-06-01,Current,E,7500.0,1,0.0,0.0,0.0,0.0,43.602636134626955,-46.14485360128151,0.005813684817950261,-0.006152647146837535
2007-07-01,Current,A,64050.0,13,0.0,0.0,0.0,0.0,55.58657586429166,-457.0648888883561,0.0008678622305119697,-0.007136063839006341
2007-07-01,Current,B,31500.0,7,0.0,0.0,0.0,0.0,61.06679183726915,-195.6635548361539,0.0019386283122942588,-0.006211541423369965
2007-07-01,Current,C,73450.0,9,0.0,0.0,0.0,0.0,455.3353687212612,-427.6283675251873,0.006199256211317375,-0.005822033594624742
2007-07-01,Current,E,7330.515004215594,1,0.0,0.0,0.0,0.0,42.61730378776478,-40.80933368070609,0.00581368481795026,-0.005567048653094315
2007-07-01,Current,F,2700.0,1,0.0,0.0,0.0,0.0,11.74699752050291,-24.322299196407897,0.004350739822408485,-0.009008258961632555
2007-08-01,Current,A,107463.59086694736,23,0.0,0.0,0.0,0.0,97.97960486629643,-742.7812249823794,0.0009117469840330087,-0.006911933790692239
2007-08-01,Current,B,67937.30292330327,16,0.0,0.0,0.0,0.0,134.8796782671407,-409.9694117216525,0.0019853552093378056,-0.006034525865480425
2007-08-01,Current,C,95332.64631000526,13,0.0,0.0,0.0,0.0,615.7962661835386,-520.3780843039567,0.006459447943793312,-0.00545855071107307
2007-08-01,Current,D,34900.0,5,0.0,0.0,0.0,0.0,225.64406734933033,-191.86458792679076,0.006465446055854737,-0.005497552662658761
2007-08-01,Current,E,37159.08799285449,3,0.0,0.0,0.0,0.0,265.7624124742088,-226.75944539747465,0.007152016554478237,-0.006102395339763973
2007-08-01,Current,F,40391.03932202063,4,0.0,0.0,0.0,0.0,264.0720746712,-365.9550664484946,0.00653788758852837,-0.009060303289818567
2007-09-01,Current,A,136251.66867238647,28,0.0,0.0,0.0,0.0,132.97834790182762,-908.8399507728942,0.0009759759215982193,-0.006670303267684565
2007-09-01,Current,B,122897.1640211452,20,0.0,0.0,0.0,0.0,298.5373779979333,-728.7557941579983,0.0024291640932134783,-0.005929801553700714
2007-09-01,Current,C,130944.59387961391,18,0.0,0.0,0.0,0.0,733.3573653289401,-676.4158712373539,0.00560051655132219,-0.005165664738012996
2007-09-01,Current,D,51942.193178803645,8,0.0,0.0,0.0,0.0,336.084761045224,-266.2844607467367,0.006470361385941094,-0.005126554048845997
2007-09-01,Current,E,36305.52125828738,3,0.0,0.0,0.0,0.0,259.67130345820203,-198.16565801721237,0.007152391549781907,-0.0054582788278236755
2007-09-01,Current,F,41623.112512485226,5,0.0,0.0,0.0,0.0,270.9714419147861,-343.93214461345025,0.006510119632055527,-0.008263008791336417
2007-10-01,Current,A,180443.53182778385,36,0.0,0.0,0.0,0.0,176.27751232779875,-1173.986878943943,0.0009769123367416618,-0.006506117825627586
2007-10-01,Current,B,149624.33247427695,28,0.0,0.0,0.0,0.0,376.8707844464708,-848.2162221048927,0.002518780055451619,-0.005668972473115067
2007-10-01,Current,C,228715.44111051006,36,0.0,0.0,0.0,0.0,1154.6051674554503,-1172.1353198228105,0.00504821695399906,-0.005124863079342604
2007-10-01,Current,D,95638.36269814275,16,0.0,0.0,0.0,0.0,673.3350310197552,-480.61957118366115,0.007040428255186253,-0.005025384768459598
2007-10-01,Current,E,66267.29519034295,7,0.0,0.0,0.0,0.0,468.64427692662207,-364.9432978936615,0.007072029657774791,-0.005507140390224411
2007-10-01,Current,F,60671.69158947748,6,0.0,0.0,0.0,0.0,510.9519445080167,-487.1252516863056,0.008421587253002074,-0.008028872097094943
2007-11-01,Current,A,242685.25595020942,47,0.0,0.0,0.0,0.0,255.13213287694737,-1552.8434510747693,0.0010512881463606162,-0.006398589996721345
2007-11-01,Current,B,296535.09940283466,36,0.0,0.0,0.0,0.0,1109.8871571895343,-1728.925229146919,0.003742852564248334,-0.005830423557375319
2007-11-01,Current,C,351545.60760266514,51,0.0,0.0,0.0,0.0,1806.2112865119775,-1786.7521519261284,0.005137914533563025,-0.005082561446609247
2007-11-01,Current,D,126364.08991543857,18,0.0,0.0,0.0,0.0,1112.1435219801692,-608.5102593184863,0.008801104196013307,-0.004815531530561369
2007-11-01,Current,E,66203.49404945553,8,0.0,0.0,0.0,0.0,465.5134424523875,-323.6999756666206,0.007031553985725259,-0.004889469661900462
2007-11-01,Current,F,59269.27963175854,6,0.0,0.0,0.0,0.0,499.2801959655022,-421.9699189261521,0.008423928872892367,-0.0071195385121577545
2007-12-01,Current,A,294141.5052797676,57,0.0,0.0,0.0,0.0,326.26569069644717,-1830.5325234514737,0.00110921337125179,-0.006223305757922175
2007-12-01,Current,B,543096.460382717,61,0.0,0.0,0.0,0.0,2161.660844987927,-3161.343435672452,0.003980252133229918,-0.005820961221961696
2007-12-01,Current,C,639618.1772119576,75,0.0,0.0,0.0,0.0,3430.3762582544186,-3319.1335049621302,0.005363162556147392,-0.005189241993449837
2007-12-01,Current,D,346881.93137787544,37,0.0,0.0,0.0,0.0,2907.9935114040727,-1758.26954792787,0.008383237200776114,-0.005068783896998374
2007-12-01,Current,E,183963.18551275827,14,0.0,0.0,0.0,0.0,1927.4636483485142,-1053.1890308284392,0.010477442228324755,-0.0057249988789490605
2007-12-01,Current,F,69848.85472343475,7,0.0,0.0,0.0,0.0,658.343127110317,-470.53099763877094,0.009425252994011347,-0.006736416788819656
2008-01-01,Current,A,556800.2464246269,99,0.0,0.0,0.0,0.0,884.0985905634534,-3618.0320379301133,0.0015878200418202083,-0.006497899491177542
2008-01-01,Current,B,1068961.7350418293,108,0.0,0.0,0.0,0.0,4471.827898543641,-6277.213395413775,0.0041833376742607675,-0.005872252663158372
2008-01-01,Current,C,1009604.9501033262,119,0.0,0.0,0.0,0.0,5304.061957839844,-5183.425085178164,0.005253601378734335,-0.0051341121937324855
2008-01-01,Current,D,640753.4109448307,61,0.0,0.0,0.0,0.0,5202.240687276822,-3193.953644539049,0.008118943416322662,-0.004984684575973409
2008-01-01,Current,E,336104.8318228372,24,0.0,0.0,0.0,0.0,3531.06516339534,-1897.4969597398972,0.010505844692100662,-0.005645550971251966
2008-01-01,Current,F,142148.13798843208,10,0.0,0.0,0.0,0.0,1444.806349894896,-1092.3935490778247,0.010164089170218138,-0.0076848952405322605
2008-01-01,Current,G,13875.0,1,0.0,0.0,0.0,0.0,237.81118434695955,-189.37074785439722,0.017139544817798887,-0.013648342187704304
2008-02-01,Current,A,723486.9004500625,127,0.0,0.0,0.0,0.0,1153.1309217433693,-4648.242544461609,0.0015938518320456616,-0.006424777755575198
2008-02-01,Current,B,1747970.258466952,180,0.0,0.0,0.0,0.0,7166.724858165392,-10036.531578404474,0.004100026773024691,-0.005741820565761205
2008-02-01,Current,C,1318288.4233907058,152,0.0,0.0,0.0,0.0,6894.819192840202,-6582.770817969699,0.005230129515289508,-0.004993422305142051
2008-02-01,Current,D,937564.8269166517,89,0.0,0.0,0.0,0.0,7313.795109332565,-4458.351200907307,0.007800842031782781,-0.00475524579518345
2008-02-01,Current,E,406691.81660694384,30,0.0,0.0,0.0,0.0,4106.722217944851,-2100.6211004633556,0.010097872763232612,-0.005165142288794925
2008-02-01,Current,F,185808.94402469406,13,0.0,0.0,0.0,0.0,1871.6112060780695,-1366.8003427535207,0.010072772416323143,-0.007355944838542716
2008-02-01,Current,G,13583.163719057306,1,0.0,0.0,0.0,0.0,232.8092433302825,-163.00499683868918,0.017139544817798887,-0.012000517715176446
2008-03-01,Current,A,904548.8004785633,158,0.0,0.0,0.0,0.0,1393.8436031669619,-5647.804880209946,0.001540926926694868,-0.006243781294300431
2008-03-01,Current,B,2618712.576013238,257,0.0,0.0,0.0,0.0,9690.436745103585,-14655.98833100545,0.003700458322102852,-0.005596638770230338
2008-03-01,Current,C,2013117.9712157159,221,0.0,0.0,0.0,0.0,10323.512039097788,-10017.549143112854,0.005128120749358494,-0.004976136166060495
2008-03-01,Current,D,1458634.4226136312,130,0.0,0.0,0.0,0.0,10819.515368454247,-6858.202790784047,0.0074175648131678314,-0.004701796889240611
2008-03-01,Current,E,629459.5396416528,44,0.0,0.0,0.0,0.0,5845.29765890978,-3222.1461973100118,0.00928621665220527,-0.005118909150450494
2008-03-01,Current,F,224409.35751770207,15,0.0,0.0,0.0,0.0,2329.8728687217836,-1558.1949683487092,0.010382244726751184,-0.006943538297977589
2008-03-01,Current,G,38286.86234301619,2,0.0,0.0,0.0,0.0,491.5248834345491,-470.10305298527464,0.01283795154146934,-0.012278442897032667
2008-04-01,Current,A,993815.6172840053,178,0.0,0.0,0.0,0.0,1514.4750195743095,-6035.389675811134,0.0015238993966639528,-0.006072947104921964
2008-04-01,Current,B,2944613.2633867855,307,0.0,0.0,0.0,0.0,10457.079220529928,-15509.540095686778,0.003551257256955564,-0.005267088988741522
2008-04-01,Current,C,2244880.0503157005,269,0.0,0.0,0.0,0.0,11300.58469093839,-10406.514458561014,0.005028201129402656,-0.004630384107084325
2008-04-01,Current,D,1571010.2085870018,153,0.0,0.0,0.0,0.0,11462.607839601726,-6658.979136565518,0.007296329315333619,-0.004238660640247996
2008-04-01,Current,E,661446.7312150192,48,0.0,0.0,0.0,0.0,5993.554852415044,-2996.0358469091616,0.00906128123334348,-0.004529519469248428
2008-04-01,Current,F,279841.1454584418,20,0.0,0.0,0.0,0.0,2723.3950914460897,-1868.495261822276,0.009731932332483005,-0.006676985468885452
2008-04-01,Current,G,37451.723314355164,2,0.0,0.0,0.0,0.0,480.73085962596576,-405.75472653853456,0.01283601439621078,-0.010834073592095818
2008-04-01,30+,C,2560.813745536413,1,0.0,0.0,0.0,0.0,11300.58469093839,-10406.514458561014,0.005028201129402656,-0.004630384107084325
2008-05-01,Current,A,1022577.4051892208,189,0.0,0.0,0.0,0.0,1559.7305841194466,-6095.180291913855,0.0015252934166199667,-0.005960605291084038
2008-05-01,Current,B,2974656.167426421,328,0.0,0.0,0.0,0.0,10496.98839896388,-14404.659203653566,0.003528807300120856,-0.004842461915898006
2008-05-01,Current,C,2265745.738587038,286,0.0,0.0,0.0,0.0,11259.090902982123,-9488.498713636616,0.00496383024451279,-0.004183223787392573
2008-05-01,Current,D,1597470.5127253546,162,0.0,0.0,0.0,0.0,11519.713335321594,-5961.249534714447,0.007211221267344997,-0.0037316804831309808
2008-05-01,Current,E,668703.6173886488,51,0.0,0.0,0.0,0.0,6000.48836434693,-2608.3596196510753,0.008973315245069868,-0.0039006213692053403
2008-05-01,Current,F,248328.25885945896,18,0.0,0.0,0.0,0.0,2491.006003259182,-1560.0610640341226,0.010031101634183982,-0.00628225346241016
