month_date,grade,total_ecl_dcf,total_balance,ecl_rate_dcf
2007-06-01,E,-46.26599150447572,7500.0,-0.006168798867263429
2007-07-01,A,-456.7944459230503,64050.0,-0.007131841466402035
2007-07-01,B,-195.7945912633588,31500.0,-0.006215701309947899
2007-07-01,C,-429.01321648816895,73450.0,-0.005840887903174526
2007-07-01,E,-40.75981257480876,7330.515004215594,-0.0055602931787696805
2007-07-01,F,-24.351607759572445,2700.0,-0.009019113985026831
2007-08-01,A,-742.566151096371,107463.59086694736,-0.00690993242553895
2007-08-01,B,-410.3406138688856,67937.30292330327,-0.006039989758382564
2007-08-01,C,-521.1008909025976,95332.64631000526,-0.005466132653110957
2007-08-01,D,-192.48320995778252,34900.0,-0.005515278222286032
2007-08-01,E,-226.7785002806933,37159.08799285449,-0.006102908131768511
2007-08-01,F,-366.28927769175135,40391.03932202063,-0.009068577680595992
2007-09-01,A,-908.9095381391542,136251.66867238647,-0.006670813994393001
2007-09-01,B,-730.0874362911657,122897.1640211452,-0.005940636971619212
2007-09-01,C,-676.7650864265253,130944.59387961391,-0.0051683316307714125
2007-09-01,D,-266.372065797285,51942.193178803645,-0.0051282406362845884
2007-09-01,E,-197.73845568274072,36305.52125828738,-0.005446511958221875
2007-09-01,F,-343.7656876697294,41623.112512485226,-0.008259009644380002
2007-10-01,A,-1174.3236050267137,180443.53182778385,-0.006507983927888829
2007-10-01,B,-848.7041122575264,149624.33247427695,-0.0056722332405622165
2007-10-01,C,-1171.0248441064307,228715.44111051006,-0.005120007807171263
2007-10-01,D,-482.06195592994766,95638.36269814275,-0.005040466422992299
2007-10-01,E,-365.1576054529696,66267.29519034295,-0.005510374377045399
2007-10-01,F,-487.13242080361783,60671.69158947748,-0.008028990259571121
2007-11-01,A,-1553.2316859095786,242685.25595020942,-0.00640018974299884
2007-11-01,B,-1729.8246619850127,296535.09940283466,-0.005833456698611904
2007-11-01,C,-1786.4552423929074,351545.60760266514,-0.0050817168633551825
2007-11-01,D,-609.4828939729496,126364.08991543857,-0.00482322861171088
2007-11-01,E,-322.52634416909467,66203.49404945553,-0.004871742025098555
2007-11-01,F,-420.55616469294,59269.27963175854,-0.007095685442878091
2007-12-01,A,-1831.5585451406587,294141.5052797676,-0.006226793948710514
2007-12-01,B,-3164.415554434082,543096.460382717,-0.005826617894368408
2007-12-01,C,-3317.617022463991,639618.1772119576,-0.005186871075061074
2007-12-01,D,-1760.9630442142586,346881.93137787544,-0.0050765487761769736
2007-12-01,E,-1052.9094093543038,183963.18551275827,-0.005723478892907527
2007-12-01,F,-468.0048621078982,69848.85472343475,-0.006700251048652906
2008-01-01,A,-3619.104168592432,556800.2464246269,-0.006499825012348201
2008-01-01,B,-6284.039951503703,1068961.7350418293,-0.005878638818870166
2008-01-01,C,-5183.285173287245,1009604.9501033262,-0.0051339736129035135
2008-01-01,D,-3197.0794558242005,640753.4109448307,-0.004989562913305304
2008-01-01,E,-1896.0438377052367,336104.8318228372,-0.005641227552196133
2008-01-01,F,-1089.0985446562654,142148.13798843208,-0.007661715166081848
2008-01-01,G,-190.20173308945084,13875.0,-0.013708233015455916
2008-02-01,A,-4650.397036777129,723486.9004500625,-0.006427755684151624
2008-02-01,B,-10041.197252890002,1747970.258466952,-0.005744489761339865
2008-02-01,C,-6578.461811734452,1318288.4233907058,-0.004990153668204344
2008-02-01,D,-4459.262364901345,937564.8269166517,-0.0047562176362422005
2008-02-01,E,-2095.0272695868825,406691.81660694384,-0.005151387817600636
2008-02-01,F,-1361.8804701233971,185808.94402469406,-0.007329466712551807
2008-02-01,G,-163.0651888117385,13583.163719057306,-0.012004949081409989
2008-03-01,A,-5649.425514654619,904548.8004785633,-0.006245572943843071
2008-03-01,B,-14647.176850470096,2618712.576013238,-0.005593273956307624
2008-03-01,C,-10009.103693536172,2013117.9712157159,-0.004971940957584172
2008-03-01,D,-6851.667583628051,1458634.4226136312,-0.004697316529354215
2008-03-01,E,-3210.1532033203675,629459.5396416528,-0.0050998563071232295
2008-03-01,F,-1550.5092133026506,224409.35751770207,-0.006909289480855725
2008-03-01,G,-469.3817902668883,38286.86234301619,-0.01225960451033165
2008-04-01,A,-6035.862318385688,993815.6172840053,-0.006073422688688544
2008-04-01,B,-15488.114326666066,2944613.2633867855,-0.0052598127296527245
