grade,n_loans,total_balance,avg_int_rate,default_rate,alll_ratio,annual_interest_income,annual_expected_loss,net_margin,net_margin_pct,spread_over_ecl
A,235095,3263735050.0,7.113041238648206,0.060426636040749486,0.0455711018663387,232150820.02671567,24687225.5885118,207463594.43820387,6.356631015075928,2.555931052014336
B,392748,5195857925.0,10.679135679876156,0.1338670088708281,0.1151491798113089,554872717.5443479,102413252.0582993,452459465.4860486,8.708080013293447,-0.8357823012547332
C,381694,5413717400.0,14.021231038475847,0.2244127494799499,0.2034978687967011,759069824.4241676,190579245.91561434,568490578.5085533,10.500928225558157,-6.328555841194262
D,200966,3068057125.0,17.721691828468497,0.3038673208403411,0.284748257723906,543711628.8138705,155645321.1733124,388066307.6405581,12.648601112358953,-10.753133943922101
E,93656,1648265625.0,21.138302404544287,0.3848231827111984,0.3612737781647079,348415372.2426519,102507821.51849066,245907550.7241612,14.919170004783739,-14.989075411926503
F,32059,611075025.0,24.9349661561496,0.45204154839514643,0.4207211365640746,152371350.67243272,43777856.0686644,108593494.60376832,17.77089394281305,-17.13714750025786
G,9132,187877125.0,27.725938458169075,0.49934296977660975,0.4590939648536694,52090696.054477386,14726627.916451285,37364068.1380261,19.887502610030946,-18.183458027197865
