month_date,grade,total_ecl_simple,total_balance,loan_count,ecl_rate_simple
2007-06-01,E,43.602636134626955,7500.0,1,0.005813684817950261
2007-07-01,A,55.58657586429166,64050.0,13,0.0008678622305119697
2007-07-01,B,61.06679183726915,31500.0,7,0.0019386283122942588
2007-07-01,C,455.3353687212612,73450.0,9,0.006199256211317375
2007-07-01,E,42.61730378776478,7330.515004215594,1,0.00581368481795026
2007-07-01,F,11.74699752050291,2700.0,1,0.004350739822408485
2007-08-01,A,97.97960486629643,107463.59086694736,23,0.0009117469840330087
2007-08-01,B,134.8796782671407,67937.30292330327,16,0.0019853552093378056
2007-08-01,C,615.7962661835386,95332.64631000526,13,0.006459447943793312
2007-08-01,D,225.64406734933033,34900.0,5,0.006465446055854737
2007-08-01,E,265.7624124742088,37159.08799285449,3,0.007152016554478237
2007-08-01,F,264.0720746712,40391.03932202063,4,0.00653788758852837
2007-09-01,A,132.97834790182762,136251.66867238647,28,0.0009759759215982193
2007-09-01,B,298.5373779979333,122897.1640211452,20,0.0024291640932134783
2007-09-01,C,733.3573653289401,130944.59387961391,18,0.00560051655132219
2007-09-01,D,336.084761045224,51942.193178803645,8,0.006470361385941094
2007-09-01,E,259.67130345820203,36305.52125828738,3,0.007152391549781907
2007-09-01,F,270.9714419147861,41623.112512485226,5,0.006510119632055527
2007-10-01,A,176.27751232779875,180443.53182778385,36,0.0009769123367416618
2007-10-01,B,376.8707844464708,149624.33247427695,28,0.002518780055451619
2007-10-01,C,1154.6051674554503,228715.44111051006,36,0.00504821695399906
2007-10-01,D,673.3350310197552,95638.36269814275,16,0.007040428255186253
2007-10-01,E,468.64427692662207,66267.29519034295,7,0.007072029657774791
2007-10-01,F,510.9519445080167,60671.69158947748,6,0.008421587253002074
2007-11-01,A,255.13213287694737,242685.25595020942,47,0.0010512881463606162
2007-11-01,B,1109.8871571895343,296535.09940283466,36,0.003742852564248334
2007-11-01,C,1806.2112865119775,351545.60760266514,51,0.005137914533563025
2007-11-01,D,1112.1435219801692,126364.08991543857,18,0.008801104196013307
2007-11-01,E,465.5134424523875,66203.49404945553,8,0.007031553985725259
2007-11-01,F,499.2801959655022,59269.27963175854,6,0.008423928872892367
2007-12-01,A,326.26569069644717,294141.5052797676,57,0.00110921337125179
2007-12-01,B,2161.660844987927,543096.460382717,61,0.003980252133229918
2007-12-01,C,3430.3762582544186,639618.1772119576,75,0.005363162556147392
2007-12-01,D,2907.9935114040727,346881.93137787544,37,0.008383237200776114
2007-12-01,E,1927.4636483485142,183963.18551275827,14,0.010477442228324755
2007-12-01,F,658.343127110317,69848.85472343475,7,0.009425252994011347
2008-01-01,A,884.0985905634534,556800.2464246269,99,0.0015878200418202083
2008-01-01,B,4471.827898543641,1068961.7350418293,108,0.0041833376742607675
2008-01-01,C,5304.061957839844,1009604.9501033262,119,0.005253601378734335
2008-01-01,D,5202.240687276822,640753.4109448307,61,0.008118943416322662
2008-01-01,E,3531.06516339534,336104.8318228372,24,0.010505844692100662
2008-01-01,F,1444.806349894896,142148.13798843208,10,0.010164089170218138
2008-01-01,G,237.81118434695955,13875.0,1,0.017139544817798887
2008-02-01,A,1153.1309217433693,723486.9004500625,127,0.0015938518320456616
2008-02-01,B,7166.724858165392,1747970.258466952,180,0.004100026773024691
2008-02-01,C,6894.819192840202,1318288.4233907058,152,0.005230129515289508
2008-02-01,D,7313.795109332565,937564.8269166517,89,0.007800842031782781
2008-02-01,E,4106.722217944851,406691.81660694384,30,0.010097872763232612
2008-02-01,F,1871.6112060780695,185808.94402469406,13,0.010072772416323143
2008-02-01,G,232.8092433302825,13583.163719057306,1,0.017139544817798887
2008-03-01,A,1393.8436031669619,904548.8004785633,158,0.001540926926694868
2008-03-01,B,9690.436745103585,2618712.576013238,257,0.003700458322102852
2008-03-01,C,10323.512039097788,2013117.9712157159,221,0.005128120749358494
2008-03-01,D,10819.515368454247,1458634.4226136312,130,0.0074175648131678314
2008-03-01,E,5845.29765890978,629459.5396416528,44,0.00928621665220527
2008-03-01,F,2329.8728687217836,224409.35751770207,15,0.010382244726751184
2008-03-01,G,491.5248834345491,38286.86234301619,2,0.01283795154146934
2008-04-01,A,1514.4750195743095,993815.6172840053,178,0.0015238993966639528
2008-04-01,B,10457.079220529928,2944613.2633867855,307,0.003551257256955564
2008-04-01,C,11300.58469093839,2247440.864061237,270,0.005028201129402656
2008-04-01,D,11462.607839601726,1571010.2085870018,153,0.007296329315333619
2008-04-01,E,5993.554852415044,661446.7312150192,48,0.00906128123334348
2008-04-01,F,2723.3950914460897,279841.1454584418,20,0.009731932332483005
