segment,total_ecl,count,mean_ecl,total_ead,alll_ratio,view,scenario,adjustment
A,75382067.13772513,235095,320.64513127767555,1654163802.2890637,0.04557110186633873,Pre-FEG,None,0.0
B,332173174.8945615,392748,845.766687276731,2884720285.7969317,0.11514917981130898,Pre-FEG,None,0.0
C,677164618.3765672,381694,1774.1033874689338,3327625111.656917,0.20349786879670112,Pre-FEG,None,0.0
D,582955491.2132014,200966,2900.766752650704,2047266226.9225864,0.28474825772390605,Pre-FEG,None,0.0
E,433657469.5037284,93656,4630.3223445772655,1200356891.9580433,0.3612737781647079,Pre-FEG,None,0.0
F,198998820.51936725,32059,6207.268489951878,472994587.68471044,0.42072113656407467,Pre-FEG,None,0.0
G,68733939.44973573,9132,7526.712598525594,149716495.3402161,0.45909396485366943,Pre-FEG,None,0.0
