segment,total_ecl,total_ead,count,alll_ratio,qualitative_adjustment,view,mean_ecl
A,119021211.50045642,1654163802.2890637,235095,0.07195249426674226,0.0,Post-FEG,506.2685786616322
B,510925517.405187,2884720285.7969317,392748,0.17711440513687063,0.0,Post-FEG,1300.8990940887975
C,1000045641.837553,3327625111.656917,381694,0.3005283372620068,0.0,Post-FEG,2620.019287276072
D,844156349.5179418,2047266226.9225864,200966,0.41233345151542034,0.0,Post-FEG,4200.493364638505
E,615380165.6238612,1200356891.958043,93656,0.5126643332051373,0.0,Post-FEG,6570.643264968194
F,275255224.3272305,472994587.6847104,32059,0.5819415940351322,0.0,Post-FEG,8585.895515369491
G,94233411.41731468,149716495.3402161,9132,0.6294123516796093,0.0,Post-FEG,10319.03322572434
