segment,total_ecl,total_ead,alll_ratio,view,count,mean_ecl
A,36358520.87179873,1654163802.2890637,0.021980000300747187,Central,235095,154.6545901520608
B,160214833.19620243,2884720285.7969317,0.05553912245323346,Central,392748,407.93290658692706
C,326612214.8906494,3327625111.656917,0.09815174604449961,Central,381694,855.6912471525603
D,281172965.9241141,2047266226.9225864,0.13734069474040425,Central,200966,1399.107142124111
E,209163064.30487916,1200356891.958043,0.1742507296839765,Central,93656,2233.311953370624
F,95981750.62110786,472994587.6847104,0.20292357062886215,Central,32059,2993.9096859261945
G,33151974.560717557,149716495.3402161,0.22143167648549972,Central,9132,3630.308208576167
