month_date,grade,total_balance,current_balance,delinquent_balance,gco_balance,ecl_simple,ecl_rate
2008-06-01,D,1544741.38,1537091.38,7650.0,0.0,309841.41,0.200578
2008-06-01,E,645182.47,645182.47,0.0,0.0,172172.11,0.266858
2008-06-01,F,254718.98,254718.98,0.0,0.0,83847.72,0.329177
2008-06-01,G,36054.4,36054.4,0.0,0.0,13703.76,0.380086
2008-07-01,A,1211975.87,1211975.87,0.0,0.0,38823.78,0.032033
2008-07-01,B,3070776.25,3070776.25,0.0,0.0,235009.97,0.076531
2008-07-01,C,2427944.43,2416108.18,11836.25,0.0,341245.85,0.140549
2008-07-01,D,1599097.51,1559827.51,39270.0,0.0,321698.02,0.201175
2008-07-01,E,650793.84,650793.84,0.0,0.0,173669.55,0.266858
2008-07-01,F,251528.39,251528.39,0.0,0.0,82797.45,0.329177
2008-07-01,G,35186.49,35186.49,0.0,0.0,13373.88,0.380086
2008-08-01,A,1207306.34,1207306.34,0.0,0.0,38674.2,0.032033
2008-08-01,B,3041053.27,3028048.27,13005.0,0.0,234342.16,0.07706
2008-08-01,C,2444851.29,2430210.04,14641.25,0.0,343835.66,0.140637
2008-08-01,D,1607903.55,1538203.55,69700.0,0.0,324388.94,0.201747
2008-08-01,E,646143.15,646143.15,0.0,0.0,172428.48,0.266858
2008-08-01,F,258208.49,258208.49,0.0,0.0,84996.39,0.329177
2008-08-01,G,34305.77,34305.77,0.0,0.0,13039.13,0.380086
2008-09-01,A,1204283.73,1204283.73,0.0,0.0,38577.38,0.032033
2008-09-01,B,2972122.11,2946367.11,25755.0,0.0,230642.2,0.077602
2008-09-01,C,2434657.09,2407435.84,24522.5,2698.75,344489.22,0.141494
2008-09-01,D,1608813.29,1478848.29,129965.0,0.0,326405.06,0.202886
2008-09-01,E,636879.6,615629.6,21250.0,0.0,169443.27,0.266052
2008-09-01,F,256309.77,256309.77,0.0,0.0,84371.37,0.329177
2008-09-01,G,33087.5,33087.5,0.0,0.0,12576.08,0.380086
2008-10-01,A,1288960.95,1288960.95,0.0,0.0,41289.88,0.032033
2008-10-01,B,3077223.61,3033618.61,43605.0,0.0,240891.32,0.078282
2008-10-01,C,2606227.85,2560625.35,42903.75,2698.75,369979.6,0.14196
2008-10-01,D,1675236.97,1521896.97,153340.0,0.0,340429.46,0.203213
2008-10-01,E,699410.5,656910.5,42500.0,0.0,185616.99,0.265391
2008-10-01,F,251710.98,251710.98,0.0,0.0,82857.55,0.329177
2008-10-01,G,32175.63,32175.63,0.0,0.0,12229.5,0.380086
2008-11-01,A,1437849.0,1437849.0,0.0,0.0,46059.28,0.032033
2008-11-01,B,3584598.2,3511200.7,73397.5,0.0,283402.49,0.079061
2008-11-01,C,2929983.68,2841966.18,76181.25,11836.25,422396.22,0.144163
2008-11-01,D,1928084.8,1728164.8,199920.0,0.0,392524.47,0.203583
2008-11-01,E,848247.92,801497.92,46750.0,0.0,225232.82,0.265527
2008-11-01,F,246112.9,246112.9,0.0,0.0,81014.79,0.329177
