month_date,total_balance,total_ecl,alll_ratio
2007-06-01,7500.0,2001.44,0.2668586666666667
2007-07-01,179200.0,17647.95,0.09848186383928571
2007-08-01,372958.67,50027.18,0.13413598884830857
2007-09-01,504890.91000000003,63223.23,0.12522156518920097
2007-10-01,762080.02,102299.38,0.13423705820289056
2007-11-01,1105198.7,136293.17,0.12332006000368985
2007-12-01,2005881.16,269183.88999999996,0.13419732702409945
2008-01-01,3624344.58,486830.44,0.13432233863370685
2008-02-01,5166838.93,675893.9199999999,0.1308138165630799
2008-03-01,7740596.640000001,1031338.7999999999,0.1332376363173989
2008-04-01,8588262.82,1139671.43,0.1327010425607818
2008-05-01,8813700.2,1164331.38,0.13210471806154694
2008-06-01,8926393.069999998,1171451.0999999999,0.13123454129944562
2008-07-01,9247302.780000001,1206618.5,0.13048329104240705
2008-08-01,9239771.86,1211704.96,0.13114013834536387
2008-09-01,9146153.09,1206504.58,0.1319138842448569
2008-10-01,9630946.49,1273294.3,0.1322086361212874
2008-11-01,11035326.81,1473606.3699999999,0.13353536287340817
2008-12-01,12910558.92,1712823.73,0.13266844143723563
2009-01-01,14578213.92,1942668.5299999998,0.13325833608017187
2009-02-01,16398092.19,2223643.21,0.13560377538040905
2009-03-01,18986997.96,2588220.48,0.1363154136031729
2009-04-01,21136173.599999998,2937605.0,0.13898471197265339
2009-05-01,23682554.68,3256061.32,0.13748775687404008
2009-06-01,25921742.43,3522155.85,0.13587650828301207
2009-07-01,29010945.81,3924228.42,0.13526716590699117
2009-08-01,31809972.13,4290563.15,0.13488107227712937
2009-09-01,35290728.45,4761729.37,0.13492862230787983
2009-10-01,39998746.69,5424841.11,0.13562527726290619
2009-11-01,44805684.9,6109772.87,0.1363615550936484
2009-12-01,50385308.9,6810427.8,0.13516693553505235
2010-01-01,54968997.46,7492093.2299999995,0.1362967049826926
2010-02-01,59965754.269999996,8186178.220000001,0.13651422081912223
2010-03-01,67404386.13,9089721.56,0.13485356193985712
2010-04-01,73969857.33,10004987.75,0.13525763211040115
2010-05-01,81523091.11,11028465.35,0.13528026476718322
2010-06-01,87927941.99,12021989.69,0.13672547563284554
2010-07-01,96771234.51,13230225.26,0.13671650803041924
2010-08-01,104443464.26,14583187.65,0.1396275751031853
2010-09-01,111787168.93,15834751.9,0.14165088937815
2010-10-01,120980813.19,17157585.41,0.1418207148521482
2010-11-01,127409936.56,18228683.08,0.14307112594327154
2010-12-01,137573146.8,19662557.54,0.1429243860256019
2011-01-01,147476431.05,21273984.009999998,0.14425345025326333
2011-02-01,157312651.31,23163213.89,0.14724317273347975
2011-03-01,173132765.11,25669894.44,0.14826710832978737
2011-04-01,185092255.15,27795959.11,0.1501735396085264
2011-05-01,199298815.27,30144882.91,0.15125470198686947
2011-06-01,212574468.10999998,32390545.53,0.1523726994026348
2011-07-01,229180410.26999998,35007515.31,0.15275090601660612
2011-08-01,244151955.37,37460025.26,0.15342914294186674
2011-09-01,260901698.44,39885187.27,0.15287438720592486
2011-10-01,282558481.88,42794890.62,0.1514549849477695
2011-11-01,301664298.23,45839014.61,0.15195372763352538
2011-12-01,326235998.18,49808247.74,0.15267551103455607
2012-01-01,348690077.40999997,53372746.24,0.1530664326224654
2012-02-01,373953892.6,57250024.9,0.1530938065705269
2012-03-01,409380287.19,61753517.09,0.15084633779969772
2012-04-01,438687208.44,66225239.24,0.15096232113879324
2012-05-01,473350320.84,71406011.08,0.15085235593224913
2012-06-01,506410287.13,77402449.26,0.15284533357066285
2012-07-01,556979601.89,85365897.2,0.1532657514033328
2012-08-01,607346288.07,93551988.85,0.15403401763973176
2012-09-01,665861538.5,102820316.92999999,0.15441696356516618
2012-10-01,731606032.54,113232414.25,0.15477239007567795
2012-11-01,796184591.19,124711056.53,0.1566358579529947
2012-12-01,874545067.7,135890025.79,0.1553836741054208
2013-01-01,951638692.8299999,147056799.53,0.15453007600256344
2013-02-01,1045407078.9399999,159678124.51000002,0.15274253228886409
2013-03-01,1167743369.64,174745263.69,0.14964355031523036
2013-04-01,1273257961.73,191139949.64000002,0.15011879397973252
2013-05-01,1394933399.31,210762941.25,0.15109175918667753
2013-06-01,1508632352.87,230692629.62,0.15291507515474778
2013-07-01,1651987836.84,252777301.60999998,0.15301402103148914
2013-08-01,1779376578.9099998,274537828.62,0.15428877274993402
2013-09-01,1915384258.9299998,298970679.2,0.15608913867080404
2013-10-01,2079880071.5,323842213.88,0.15570234953328174
2013-11-01,2234033747.92,348195827.84,0.155859699149213
2013-12-01,2416166725.27,374879630.48,0.1551547029264333
2014-01-01,2573915411.31,401143813.90000004,0.1558496491910109
2014-02-01,2731937830.98,429348875.6,0.15715909444615148
2014-03-01,2960147179.82,461788460.8,0.15600185826843932
2014-04-01,3138543992.37,493225902.5,0.1571511833828245
2014-05-01,3333832664.43,525535533.78000003,0.15763704621025218
2014-06-01,3469183182.57,553655554.13,0.15959248185904304
2014-07-01,3796618629.58,606719054.22,0.15980510907599854
2014-08-01,3937287138.6099997,636521693.03,0.1616650426096976
2014-09-01,3968132527.47,651114947.46,0.16408598829614635
2014-10-01,4390647820.01,712605784.14,0.16230082970726104
2014-11-01,4586779067.4800005,750507691.37,0.16362412061462833
2014-12-01,4643004494.89,764517765.37,0.16466013897066292
2015-01-01,4953538945.190001,818761893.1,0.165288272114028
2015-02-01,5130005157.690001,855537588.21,0.1667712920185916
2015-03-01,5448641745.190001,898205824.3199999,0.16484949209826943
2015-04-01,5750035284.81,952133941.62,0.16558749546029292
2015-05-01,6034588160.67,999768601.86,0.16567304598778104
2015-06-01,6211595778.139999,1040817495.98,0.16756040366355945
2015-07-01,6676420354.08,1113829368.54,0.16683032365679795
2015-08-01,6922241032.82,1163401380.69,0.16806715847859616
2015-09-01,7081145079.690001,1207359162.01,0.1705033788211632
2015-10-01,7540917898.38,1274983220.85,0.16907533512914946
2015-11-01,7772748412.24,1324072463.11,0.17034804072970378
2015-12-01,8169454144.07,1389587254.9299998,0.17009548378928915
2016-01-01,8324833564.34,1433925356.51,0.17224672967064691
2016-02-01,8582100975.320001,1491728789.79,0.17381860153822973
2016-03-01,9196760964.56,1580300347.28,0.17183227370698617
2016-04-01,9244505864.8,1619178167.1,0.17515032071809175
2016-05-01,9304823977.28,1650401600.0,0.17737053425511953
2016-06-01,9274841542.25,1678186958.82,0.18093969057857193
2016-07-01,9397935948.16,1722524084.96,0.1832874893446416
2016-08-01,9387212034.01,1765177416.3300002,0.18804064614016788
2016-09-01,9329503027.710001,1800130126.6200001,0.19295026983466837
2016-10-01,9363955144.61,1839822047.06,0.19647916063748153
2016-11-01,9332073977.61,1877674385.23,0.20120654741218452
2016-12-01,9383162737.869999,1918424627.67,0.20445394386344057
2017-01-01,9318442069.640001,1964300288.77,0.2107970703782984
2017-02-01,9243416196.93,1998766380.8100002,0.21623676119591445
2017-03-01,9439886361.31,2030443282.1499999,0.21509192001207836
2017-04-01,9286384463.16,2067125964.1399999,0.22259749984942923
2017-05-01,9308331501.88,2101458282.18,0.22576100579954309
2017-06-01,9175332545.55,2143444273.41,0.2336094373439971
2017-07-01,9202797435.51,2178546740.32,0.23672657749847228
2017-08-01,9055262070.83,2217091849.24,0.2448401638625112
2017-09-01,8921786177.33,2256586464.77,0.25292989765927376
2017-10-01,8877559302.56,2283612393.59,0.25723425952575507
2017-11-01,8738665381.36,2321468098.84,0.26565476506192864
2017-12-01,8685064305.54,2347678640.25,0.2703121770500272
2018-01-01,8500659089.29,2375158164.67,0.27940870698631676
2018-02-01,8323284709.41,2401767655.94,0.2885600745129684
2018-03-01,8407068821.27,2414214392.57,0.28716481854674536
2018-04-01,8204462231.19,2440709022.96,0.2974855577592186
