vintage_year,grade,mob,defaults_at_mob,active_at_mob,marginal_pd
2007,D,18,0,26,0.0
2007,D,19,0,26,0.0
2007,D,20,1,26,0.038461538461538464
2007,D,21,1,25,0.04
2007,D,22,1,24,0.041666666666666664
2007,D,23,0,23,0.0
2007,D,24,0,23,0.0
2007,D,25,0,22,0.0
2007,D,26,1,22,0.045454545454545456
2007,D,27,1,20,0.05
2007,D,28,1,18,0.05555555555555555
2007,D,29,1,17,0.058823529411764705
2007,D,30,0,16,0.0
2007,D,31,1,15,0.06666666666666667
2007,D,32,0,13,0.0
2007,D,33,0,11,0.0
2007,D,34,0,10,0.0
2007,D,35,0,10,0.0
2007,D,36,0,8,0.0
2007,D,37,0,2,0.0
2007,D,38,0,2,0.0
2007,D,39,0,1,0.0
2007,D,40,0,1,0.0
2007,D,41,0,1,0.0
2007,D,42,0,1,0.0
2007,D,43,0,1,0.0
2007,D,44,0,0,0.0
2007,D,45,0,0,0.0
2007,D,46,0,0,0.0
2007,D,47,0,0,0.0
2007,D,48,0,0,0.0
2007,D,49,0,0,0.0
2007,D,50,0,0,0.0
2007,D,51,0,0,0.0
2007,D,52,0,0,0.0
2007,D,53,0,0,0.0
2007,E,1,0,14,0.0
2007,E,2,0,14,0.0
2007,E,3,0,14,0.0
2007,E,4,0,14,0.0
2007,E,5,0,14,0.0
2007,E,6,0,14,0.0
2007,E,7,0,14,0.0
2007,E,8,0,14,0.0
2007,E,9,0,14,0.0
2007,E,10,1,14,0.07142857142857142
2007,E,11,0,12,0.0
2007,E,12,0,11,0.0
2007,E,13,0,11,0.0
2007,E,14,1,11,0.09090909090909091
2007,E,15,0,10,0.0
2007,E,16,0,10,0.0
2007,E,17,0,10,0.0
2007,E,18,0,10,0.0
2007,E,19,1,10,0.1
2007,E,20,0,9,0.0
2007,E,21,0,9,0.0
2007,E,22,0,9,0.0
2007,E,23,0,9,0.0
2007,E,24,0,9,0.0
2007,E,25,0,9,0.0
2007,E,26,1,9,0.1111111111111111
2007,E,27,0,8,0.0
2007,E,28,0,8,0.0
2007,E,29,0,8,0.0
2007,E,30,1,8,0.125
2007,E,31,0,7,0.0
2007,E,32,0,7,0.0
2007,E,33,0,7,0.0
2007,E,34,0,7,0.0
2007,E,35,0,7,0.0
2007,E,36,0,7,0.0
2007,E,37,0,0,0.0
2007,E,38,0,0,0.0
2007,E,39,0,0,0.0
2007,E,40,0,0,0.0
2007,E,41,0,0,0.0
2007,E,42,0,0,0.0
2007,E,43,0,0,0.0
2007,E,44,0,0,0.0
2007,E,45,0,0,0.0
2007,E,46,0,0,0.0
2007,E,47,0,0,0.0
2007,E,48,0,0,0.0
2007,E,49,0,0,0.0
2007,E,50,0,0,0.0
2007,E,51,0,0,0.0
2007,E,52,0,0,0.0
2007,E,53,0,0,0.0
2007,F,1,0,7,0.0
2007,F,2,0,7,0.0
2007,F,3,0,7,0.0
2007,F,4,0,7,0.0
2007,F,5,0,7,0.0
2007,F,6,0,7,0.0
2007,F,7,0,7,0.0
2007,F,8,0,7,0.0
2007,F,9,0,5,0.0
2007,F,10,0,5,0.0
2007,F,11,0,5,0.0
2007,F,12,0,5,0.0
2007,F,13,0,5,0.0
2007,F,14,0,5,0.0
2007,F,15,0,5,0.0
2007,F,16,0,5,0.0
2007,F,17,0,5,0.0
2007,F,18,2,5,0.4
2007,F,19,0,3,0.0
2007,F,20,0,3,0.0
2007,F,21,0,3,0.0
2007,F,22,0,3,0.0
2007,F,23,0,3,0.0
2007,F,24,0,3,0.0
2007,F,25,0,3,0.0
2007,F,26,0,3,0.0
2007,F,27,0,3,0.0
2007,F,28,0,3,0.0
2007,F,29,0,3,0.0
2007,F,30,0,3,0.0
2007,F,31,0,3,0.0
2007,F,32,0,3,0.0
2007,F,33,0,3,0.0
2007,F,34,0,3,0.0
2007,F,35,0,3,0.0
2007,F,36,0,3,0.0
2007,F,37,0,0,0.0
2007,F,38,0,0,0.0
2007,F,39,0,0,0.0
2007,F,40,0,0,0.0
2007,F,41,0,0,0.0
2007,F,42,0,0,0.0
2007,F,43,0,0,0.0
2007,F,44,0,0,0.0
2007,F,45,0,0,0.0
2007,F,46,0,0,0.0
2007,F,47,0,0,0.0
2007,F,48,0,0,0.0
2007,F,49,0,0,0.0
2007,F,50,0,0,0.0
2007,F,51,0,0,0.0
2007,F,52,0,0,0.0
2007,F,53,0,0,0.0
2008,A,1,0,295,0.0
2008,A,2,0,290,0.0
2008,A,3,0,287,0.0
2008,A,4,0,285,0.0
2008,A,5,0,279,0.0
2008,A,6,1,274,0.0036496350364963502
2008,A,7,0,271,0.0
2008,A,8,0,270,0.0
2008,A,9,0,267,0.0
2008,A,10,0,264,0.0
2008,A,11,2,263,0.0076045627376425855
2008,A,12,0,259,0.0
2008,A,13,1,255,0.00392156862745098
2008,A,14,0,248,0.0
2008,A,15,0,242,0.0
2008,A,16,2,237,0.008438818565400843
2008,A,17,0,232,0.0
2008,A,18,0,227,0.0
2008,A,19,0,223,0.0
2008,A,20,0,221,0.0
2008,A,21,1,218,0.0045871559633027525
2008,A,22,0,210,0.0
2008,A,23,0,206,0.0
2008,A,24,2,201,0.009950248756218905
2008,A,25,1,196,0.00510204081632653
2008,A,26,2,192,0.010416666666666666
2008,A,27,0,185,0.0
2008,A,28,2,181,0.011049723756906077
2008,A,29,0,174,0.0
2008,A,30,0,168,0.0
2008,A,31,0,165,0.0
2008,A,32,0,159,0.0
2008,A,33,2,155,0.012903225806451613
2008,A,34,1,148,0.006756756756756757
2008,A,35,0,142,0.0
2008,A,36,0,133,0.0
2008,A,37,0,49,0.0
2008,A,38,0,5,0.0
2008,A,39,0,2,0.0
2008,A,40,0,1,0.0
2008,A,41,0,1,0.0
2008,A,42,0,0,0.0
2008,A,43,0,0,0.0
2008,A,44,0,0,0.0
2008,A,45,0,0,0.0
2008,A,46,0,0,0.0
