segment,total_ecl,count,mean_ecl,total_ead,alll_ratio
A,76413639.81193833,235095,325.03302840102225,1654163802.2890637,0.046194723706440476
B,336620479.44124943,392748,857.0902447402646,2884720285.7969317,0.11669085598996118
C,683450395.7233568,381694,1790.5714937184155,3327625111.656917,0.20538683679516045
D,586731112.6821638,200966,2919.5541170255856,2047266226.9225864,0.28659248365764695
E,435926009.3001963,93656,4654.5443890428405,1200356891.9580433,0.3631636659236455
F,199877733.24690488,32059,6234.6839654045625,472994587.68471044,0.42257932426943484
G,69025345.93852538,9132,7558.623076930067,149716495.3402161,0.4610403535139667
