term,vintage_year,mob,n_active,pct_active,pct_prepaid,pct_defaulted,total_loans
36,2007,0,251,1.0,0.0,0.0,251
36,2007,1,251,1.0,0.0,0.0,251
36,2007,2,251,1.0,0.0,0.0,251
36,2007,3,248,0.9880478087649402,0.01195219123505976,0.0,251
36,2007,4,247,0.9840637450199203,0.01593625498007968,0.0,251
36,2007,5,246,0.9800796812749004,0.0199203187250996,0.0,251
36,2007,6,242,0.9641434262948207,0.035856573705179286,0.0,251
36,2007,7,231,0.9203187250996016,0.06374501992031872,0.01593625498007968,251
36,2007,8,225,0.896414342629482,0.08366533864541832,0.0199203187250996,251
36,2007,9,218,0.8685258964143426,0.10756972111553785,0.02390438247011952,251
36,2007,10,213,0.848605577689243,0.11155378486055777,0.0398406374501992,251
36,2007,11,208,0.8286852589641435,0.12749003984063745,0.043824701195219126,251
36,2007,12,206,0.8207171314741036,0.13545816733067728,0.043824701195219126,251
36,2007,13,202,0.8047808764940239,0.14741035856573706,0.04780876494023904,251
36,2007,14,200,0.796812749003984,0.1553784860557769,0.04780876494023904,251
36,2007,15,192,0.7649402390438247,0.16733067729083664,0.06772908366533864,251
36,2007,16,189,0.7529880478087649,0.17131474103585656,0.07569721115537849,251
36,2007,17,189,0.7529880478087649,0.17131474103585656,0.07569721115537849,251
36,2007,18,186,0.7410358565737052,0.17131474103585656,0.08764940239043825,251
36,2007,19,180,0.7171314741035857,0.18725099601593626,0.09561752988047809,251
36,2007,20,173,0.6892430278884463,0.20318725099601595,0.10756972111553785,251
36,2007,21,171,0.6812749003984063,0.20318725099601595,0.11553784860557768,251
36,2007,22,169,0.6733067729083665,0.20717131474103587,0.11952191235059761,251
36,2007,23,167,0.6653386454183267,0.2151394422310757,0.11952191235059761,251
36,2007,24,163,0.649402390438247,0.22709163346613545,0.12350597609561753,251
36,2007,25,161,0.6414342629482072,0.2350597609561753,0.12350597609561753,251
36,2007,26,158,0.6294820717131474,0.2350597609561753,0.13545816733067728,251
36,2007,27,152,0.6055776892430279,0.250996015936255,0.14342629482071714,251
36,2007,28,148,0.5896414342629482,0.26294820717131473,0.14741035856573706,251
36,2007,29,142,0.5657370517928287,0.2749003984063745,0.1553784860557769,251
36,2007,30,138,0.549800796812749,0.2749003984063745,0.1593625498007968,251
36,2007,31,131,0.5219123505976095,0.2749003984063745,0.17131474103585656,251
36,2007,32,126,0.50199203187251,0.2749003984063745,0.17131474103585656,251
36,2007,33,123,0.4900398406374502,0.2749003984063745,0.17131474103585656,251
36,2007,34,121,0.4820717131474104,0.2749003984063745,0.17131474103585656,251
36,2007,35,114,0.4541832669322709,0.2749003984063745,0.17131474103585656,251
36,2007,36,0,0.0,0.2749003984063745,0.17928286852589642,251
36,2008,0,1561,1.0,0.0,0.0,1561
36,2008,1,1548,0.9916720051249199,0.0064061499039077515,0.0019218449711723255,1561
36,2008,2,1537,0.9846252402306214,0.011531069827033953,0.003843689942344651,1561
36,2008,3,1519,0.9730941704035875,0.019218449711723255,0.007687379884689302,1561
36,2008,4,1497,0.9590006406149904,0.028827674567584883,0.012171684817424727,1561
36,2008,5,1477,0.9461883408071748,0.037155669442664956,0.016655989750160152,1561
36,2008,6,1460,0.9352978859705318,0.042921204356181936,0.021780909673286355,1561
36,2008,7,1441,0.923126201153107,0.05060858424087124,0.02626521460602178,1561
36,2008,8,1415,0.9064702114029468,0.060858424087123636,0.03267136450992953,1561
36,2008,9,1399,0.8962203715566944,0.06598334401024984,0.03779628443305574,1561
36,2008,10,1385,0.8872517616912236,0.06982703395259449,0.042921204356181936,1561
36,2008,11,1363,0.8731582319026265,0.07687379884689302,0.049967969250480464,1561
36,2008,12,1329,0.8513773222293401,0.0903267136450993,0.05829596412556054,1561
36,2008,13,1306,0.8366431774503523,0.09993593850096093,0.06342088404868675,1561
36,2008,14,1280,0.8199871877001922,0.10954516335682254,0.07046764894298527,1561
36,2008,15,1256,0.8046124279308136,0.11787315823190263,0.07751441383728379,1561
36,2008,16,1234,0.7905188981422165,0.1262011531069827,0.08327994875080078,1561
36,2008,17,1204,0.7713004484304933,0.13837283792440744,0.0903267136450993,1561
36,2008,18,1181,0.7565663036515055,0.1473414477898783,0.09609224855861627,1561
36,2008,19,1158,0.7418321588725176,0.15631005765534914,0.10185778347213324,1561
36,2008,20,1140,0.7303010890454836,0.16399743754003843,0.1057014734144779,1561
36,2008,21,1108,0.7098014093529789,0.17680973734785393,0.1133888532991672,1561
36,2008,22,1077,0.6899423446508648,0.18834080717488788,0.12171684817424727,1561
36,2008,23,1058,0.6777706598334401,0.19666880204996798,0.12556053811659193,1561
36,2008,24,1026,0.6572709801409353,0.2114029468289558,0.1313260730301089,1561
36,2008,25,1001,0.6412556053811659,0.22229340166559897,0.1364509929532351,1561
36,2008,26,975,0.6245996156310057,0.23638693145419604,0.13901345291479822,1561
36,2008,27,946,0.6060217809096733,0.25432415118513774,0.13965406790518897,1561
36,2008,28,914,0.5855221012171685,0.2729019859064702,0.14157591287636132,1561
36,2008,29,892,0.5714285714285714,0.2729019859064702,0.1447789878283152,1561
36,2008,30,868,0.5560538116591929,0.2729019859064702,0.1467008327994875,1561
36,2008,31,836,0.535554131966688,0.2729019859064702,0.1473414477898783,1561
36,2008,32,816,0.5227418321588725,0.2729019859064702,0.1492632927610506,1561
36,2008,33,791,0.5067264573991032,0.2729019859064702,0.1518257527226137,1561
36,2008,34,753,0.4823830877642537,0.2729019859064702,0.15502882767456758,1561
36,2008,35,717,0.45932094811018576,0.2729019859064702,0.15631005765534914,1561
36,2008,36,0,0.0,0.2729019859064702,0.15759128763613067,1561
36,2009,0,4704,1.0,0.0,0.0,4704
36,2009,1,4657,0.9900085034013606,0.00744047619047619,0.002551020408163265,4704
36,2009,2,4581,0.9738520408163265,0.020620748299319726,0.0055272108843537416,4704
36,2009,3,4532,0.9634353741496599,0.02699829931972789,0.009566326530612245,4704
36,2009,4,4475,0.9513180272108843,0.03358843537414966,0.015093537414965986,4704
36,2009,5,4426,0.9409013605442177,0.03932823129251701,0.019770408163265307,4704
36,2009,6,4361,0.9270833333333334,0.04889455782312925,0.024022108843537414,4704
36,2009,7,4298,0.9136904761904762,0.05654761904761905,0.02976190476190476,4704
36,2009,8,4222,0.8975340136054422,0.06738945578231292,0.035076530612244895,4704
